Customer ID,TotalInvoices,TotalQuantity,TotalPrice,Recency,CancellationPercentage,AvgItemsPerOrder
12346,17,53,-51.74000000000524,285,27.659574468085108,3.1176470588235294
12347,6,2099,3402.39,89,0.0,349.8333333333333
12348,5,2714,2019.3999999999999,35,0.0,542.8
12349,4,988,2646.9900000000002,367,4.672897196261682,247.0
12350,1,197,334.40000000000003,270,0.0,197.0
12351,1,261,300.93,335,0.0,261.0
12352,12,531,1577.48,32,10.204081632653061,44.25
12353,2,212,406.76,163,0.0,106.0
12354,1,530,1079.4,192,0.0,530.0
12355,2,543,947.61,174,0.0,271.5
12356,5,3411,6313.38,205,0.0,682.2
12357,2,3879,12079.99,348,0.0,1939.5
12358,4,931,3203.8700000000003,110,0.0,232.75
12359,13,2519,8743.59,17,1.6304347826086956,193.76923076923077
12360,9,2458,4212.89,12,0.45871559633027525,273.1111111111111
12361,4,235,511.25,247,0.0,58.75
12362,11,1789,4326.45,2,2.2123893805309733,162.63636363636363
12363,2,408,552.0,69,0.0,204.0
12364,3,1004,1002.78,0,0.0,334.6666666666667
12365,3,173,320.69,251,4.3478260869565215,57.666666666666664
12366,1,296,500.24,593,0.0,296.0
12368,1,330,917.7,588,0.0,330.0
12369,3,1241,1791.15,373,0.0,413.6666666666667
12370,7,2604,4316.56,11,0.0,372.0
12371,5,1436,4067.38,4,0.0,287.2
12372,3,794,1298.04,31,0.0,264.6666666666667
12373,3,516,1127.65,271,0.0,172.0
12374,3,1020,2246.29,381,0.0,340.0
12375,1,87,230.3,58,0.0,87.0
12376,2,240,503.15,349,0.0,120.0
12377,4,2105,3426.32,275,0.0,526.25
12378,2,3316,5416.32,89,0.0,1658.0
12379,5,814,1618.27,41,1.2195121951219512,162.8
12380,14,3010,6847.610000000001,6,2.2556390977443606,215.0
12381,4,545,1237.89,18,5.88235294117647,136.25
12382,1,-1,-18.38,641,100.0,-1.0
12383,6,1529,1839.31,144,1.0,254.83333333333334
12384,2,57,273.58000000000004,39,17.647058823529413,28.5
12385,2,611,1923.4,339,1.5151515151515151,305.5
12386,2,354,401.9,297,0.0,177.0
12387,1,134,143.94,374,0.0,134.0
12388,7,1777,3614.71,35,0.0,253.85714285714286
12389,3,614,1433.33,362,0.0,204.66666666666666
12390,1,353,549.84,39,0.0,353.0
12391,6,903,2259.58,424,3.3333333333333335,150.5
12392,1,73,234.75000000000003,551,0.0,73.0
12393,7,1305,2376.75,32,4.464285714285714,186.42857142857142
12394,2,819,1272.48,23,0.0,409.5
12395,14,2830,3930.9900000000002,26,0.9950248756218906,202.14285714285714
12396,1,591,931.4300000000001,634,0.0,591.0
12397,1,704,1214.81,95,0.0,704.0
12398,1,1394,1635.6599999999999,5,0.0,1394.0
12399,7,2198,1962.3,79,0.0,314.0
12400,1,91,205.25,374,0.0,91.0
12401,1,11,84.3,263,0.0,11.0
12402,7,583,1244.15,283,1.4084507042253522,83.28571428571429
12403,3,259,1001.36,9,10.0,86.33333333333333
12404,1,1,63.24,641,0.0,1.0
