Customer ID,TotalInvoices,TotalQuantity,TotalPrice,AvgItemsPerOrder
12346,17,53,-51.74000000000524,3.1176470588235294
12347,8,2967,4921.53,370.875
12348,5,2714,2019.3999999999999,542.8
12349,5,1619,4404.54,323.8
12350,1,197,334.40000000000003,197.0
12351,1,261,300.93,261.0
12352,13,658,1889.21,50.61538461538461
12353,2,212,406.76,106.0
12354,1,530,1079.4,530.0
12355,2,543,947.61,271.5
12356,6,3416,6371.7300000000005,569.3333333333334
12357,3,6587,18287.66,2195.6666666666665
12358,5,1079,3887.07,215.8
12359,14,2513,8652.34,179.5
12360,9,2458,4212.89,273.1111111111111
12361,4,235,511.25,58.75
12362,14,2213,5284.58,158.07142857142858
12363,2,408,552.0,204.0
12364,4,1506,1313.1,376.5
12365,3,173,320.69,57.666666666666664
12366,1,296,500.24,296.0
12367,1,173,168.9,173.0
12368,1,330,917.7,330.0
12369,3,1241,1791.15,413.6666666666667
12370,7,2604,4316.56,372.0
12371,5,1436,4067.38,287.2
12372,3,794,1298.04,264.6666666666667
12373,3,516,1127.65,172.0
12374,4,1362,2989.2200000000003,340.5
12375,3,177,455.42,59.0
12376,2,240,503.15,120.0
12377,4,2105,3426.32,526.25
12378,2,3316,5416.32,1658.0
12379,5,814,1618.27,162.8
12380,15,3325,7888.0,221.66666666666666
12381,6,783,1803.96,130.5
12382,1,-1,-18.38,-1.0
12383,6,1529,1839.31,254.83333333333334
12384,3,121,566.16,40.333333333333336
12385,2,611,1923.4,305.5
12386,2,354,401.9,177.0
12387,1,134,143.94,134.0
12388,8,2001,3901.11,250.125
12389,3,614,1433.33,204.66666666666666
12390,1,353,549.84,353.0
12391,7,1196,2699.2400000000002,170.85714285714286
12392,1,73,234.75000000000003,73.0
12393,7,1305,2376.75,186.42857142857142
12394,2,819,1272.48,409.5
12395,18,3200,4700.82,177.77777777777777
12396,1,591,931.4300000000001,591.0
12397,2,1263,2409.9,631.5
12398,1,1394,1635.6599999999999,1394.0
12399,7,2198,1962.3,314.0
12400,1,91,205.25,91.0
12401,1,11,84.3,11.0
12402,7,583,1244.15,83.28571428571429
12403,3,259,1001.36,86.33333333333333
12404,1,1,63.24,1.0
12405,1,857,1710.39,857.0
12406,7,3383,6072.21,483.2857142857143
12407,5,1416,1708.12,283.2
12408,14,2186,4279.64,156.14285714285714
12409,13,13027,23090.47,1002.0769230769231
12410,4,339,1001.46,84.75
12411,1,138,346.9,138.0
12412,8,1991,2581.03,248.875
12413,6,315,935.5,52.5
12414,8,301,692.4100000000001,37.625
12415,33,91019,143269.29,2758.151515151515
12416,1,132,202.56,132.0
12417,27,2860,6688.71,105.92592592592592
12418,5,1087,2016.95,217.4
12419,2,231,503.01,115.5
12420,1,345,600.39,345.0
12421,8,647,1092.83,80.875
12422,21,2591,4119.35,123.38095238095238
12423,11,1781,2612.19,161.9090909090909
12424,7,2015,3289.7799999999997,287.85714285714283
12425,3,1103,1680.81,367.6666666666667
12426,3,577,1311.41,192.33333333333334
12427,5,236,708.37,47.2
12428,12,3503,7877.2,291.9166666666667
12429,9,2770,6154.01,307.77777777777777
12430,1,117,256.4,117.0
12431,33,4532,10293.66,137.33333333333334
12432,5,1801,5059.32,360.2
12433,11,13533,16641.74,1230.2727272727273
12434,5,511,1062.48,102.2
12435,6,4958,13925.93,826.3333333333334
12436,1,211,509.01,211.0
12437,47,7930,12394.85,168.72340425531914
12438,2,1180,2906.85,590.0
12439,3,448,1089.18,149.33333333333334
12440,3,308,768.15,102.66666666666667
12441,1,121,173.55,121.0
12442,1,182,172.06,182.0
12443,1,182,485.31,182.0
12444,5,1153,5005.46,230.6
12445,3,204,426.48,68.0
12446,1,351,1002.3100000000001,351.0
12447,1,190,476.49,190.0
12448,1,243,449.45,243.0
12449,6,2282,4835.89,380.3333333333333
12450,7,435,666.95,62.142857142857146
12451,10,9226,12546.53,922.6
12452,3,183,428.57000000000005,61.0
12453,1,473,707.09,473.0
12454,9,2232,4292.71,248.0
12455,10,3302,5879.95,330.2
12456,4,1616,3153.89,404.0
12457,14,937,2472.31,66.92857142857143
12458,4,986,1777.49,246.5
12459,1,258,454.36,258.0
12460,1,170,326.65,170.0
12461,2,287,826.88,143.5
12462,4,514,1124.01,128.5
12463,7,757,1303.63,108.14285714285714
12464,8,112,1212.05,14.0
12465,3,475,733.89,158.33333333333334
12466,1,1,56.73,1.0
12467,2,0,0.0,0.0
12468,10,2184,3624.55,218.4
12469,2,2552,3070.54,1276.0
12470,1,95,211.95,95.0
12471,129,16427,37920.01,127.34108527131782
12472,37,9978,15447.69,269.6756756756757
12473,9,2338,2837.73,259.77777777777777
12474,54,7787,11948.75,144.2037037037037
12475,2,771,1149.64,385.5
12476,38,5535,13684.12,145.6578947368421
12477,12,6086,20173.64,507.1666666666667
12478,1,236,680.99,236.0
12479,3,351,477.3,117.0
12480,8,2947,5435.1,368.375
12481,18,7020,12041.15,390.0
12482,32,27039,21893.53,844.96875
12483,27,2133,4823.47,79.0
12484,16,3255,6287.8,203.4375
12485,1,414,708.1,414.0
12486,1,523,1037.28,523.0
12487,2,144,259.8,72.0
12488,3,529,1298.66,176.33333333333334
12489,1,105,334.93,105.0
12490,22,5902,9818.64,268.27272727272725
12491,1,260,460.40000000000003,260.0
12492,3,444,715.21,148.0
12493,3,206,416.79,68.66666666666667
12494,17,952,1685.92,56.0
12495,2,126,323.4,63.0
12496,2,30,45.34,15.0
12497,4,5684,6211.75,1421.0
12498,3,159,403.70000000000005,53.0
12499,1,302,393.72,302.0
12500,25,3360,5872.3099999999995,134.4
12501,2,1722,2089.68,861.0
12502,5,820,3723.87,164.0
12503,2,560,0.0,280.0
12504,6,419,411.0,69.83333333333333
12505,3,313,908.0,104.33333333333333
12506,1,23,73.5,23.0
12507,5,1245,1797.31,249.0
12508,2,271,397.88,135.5
12509,1,55,176.5,55.0
12510,16,2018,3689.33,126.125
12511,2,1748,3065.77,874.0
12512,2,96,132.18,48.0
12513,2,456,586.79,228.0
12514,2,840,1597.76,420.0
12515,1,131,383.7,131.0
12516,4,1952,2648.62,488.0
12517,6,1338,2443.65,223.0
12518,5,1318,2056.89,263.6
12519,3,380,685.19,126.66666666666667
12520,6,1430,2582.51,238.33333333333334
12521,1,309,599.68,309.0
12522,2,194,192.72,97.0
12523,30,2236,4201.05,74.53333333333333
12524,18,7173,11091.36,398.5
12525,8,487,835.1800000000001,60.875
12526,3,632,1316.66,210.66666666666666
12527,5,526,735.51,105.2
12528,8,750,1922.28,93.75
12529,2,190,311.78000000000003,95.0
12530,12,2698,3689.86,224.83333333333334
12531,3,1104,1899.05,368.0
12532,1,153,349.83000000000004,153.0
12533,6,568,1149.99,94.66666666666667
12534,1,651,1089.18,651.0
12535,2,219,716.35,109.5
12536,5,2652,4106.82,530.4
12537,1,449,732.94,449.0
12538,2,336,640.45,168.0
12539,8,4534,9498.9,566.75
12540,36,11009,22107.29,305.80555555555554
12541,3,680,981.18,226.66666666666666
12542,4,514,423.38,128.5
12543,1,688,980.25,688.0
12544,2,132,355.7,66.0
12545,2,523,1000.39,261.5
12546,3,617,1141.5,205.66666666666666
12547,3,309,383.58,103.0
12548,1,49,95.19999999999999,49.0
12549,6,1366,1575.68,227.66666666666666
12550,1,569,964.83,569.0
12551,1,100,168.0,100.0
12552,2,88,437.82,44.0
12553,17,2282,4548.82,134.23529411764707
12554,1,240,468.5,240.0
12555,1,1,129.23,1.0
12556,2,355,599.56,177.5
12557,8,6382,18096.14,797.75
12558,2,0,1.0658141036401503e-14,0.0
12559,3,281,536.21,93.66666666666667
12560,4,1078,2101.39,269.5
12561,1,177,238.85,177.0
12562,9,2327,4966.92,258.55555555555554
12563,1,113,249.24,113.0
12564,1,133,456.90000000000003,133.0
12565,2,75,131.17000000000002,37.5
12566,2,264,346.7,132.0
12567,17,5086,11451.44,299.1764705882353
12568,1,48,70.0,48.0
12569,35,1793,4064.9900000000002,51.22857142857143
12570,1,1,77.52,1.0
12571,2,523,519.61,261.5
12572,3,450,1004.72,150.0
12573,5,479,717.41,95.8
12574,1,61,218.45000000000002,61.0
12575,2,315,622.82,157.5
12576,11,1479,2083.87,134.45454545454547
12577,9,1185,1554.7,131.66666666666666
12578,7,2334,4572.45,333.42857142857144
12579,3,278,410.72,92.66666666666667
12580,2,569,1052.9,284.5
